MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
24,GUJARAT,468,Kachchh,3721,Kachchh,506426,Kachchh
24,GUJARAT,468,Kachchh,3722,Lakhpat,506427,Lakhpat
24,GUJARAT,468,Kachchh,3722,Lakhpat,506428,Chher Nani
24,GUJARAT,468,Kachchh,3722,Lakhpat,506429,Shinapar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506430,Punrajpar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506431,Kaner
24,GUJARAT,468,Kachchh,3722,Lakhpat,506432,Lakhpat
24,GUJARAT,468,Kachchh,3722,Lakhpat,506433,Karanpar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506434,Guneri
24,GUJARAT,468,Kachchh,3722,Lakhpat,506435,Sayra
24,GUJARAT,468,Kachchh,3722,Lakhpat,506436,Mudhan
24,GUJARAT,468,Kachchh,3722,Lakhpat,506437,Siyot
24,GUJARAT,468,Kachchh,3722,Lakhpat,506438,Atdo
24,GUJARAT,468,Kachchh,3722,Lakhpat,506439,Ukher
24,GUJARAT,468,Kachchh,3722,Lakhpat,506440,Umarsar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506441,Pranpar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506442,Baiyavo
24,GUJARAT,468,Kachchh,3722,Lakhpat,506443,Maldo
24,GUJARAT,468,Kachchh,3722,Lakhpat,506444,Khengarpar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506445,Chher Moti
24,GUJARAT,468,Kachchh,3722,Lakhpat,506446,Fatehpur
24,GUJARAT,468,Kachchh,3722,Lakhpat,506447,Kapurasi
24,GUJARAT,468,Kachchh,3722,Lakhpat,506448,Koriyani
24,GUJARAT,468,Kachchh,3722,Lakhpat,506449,Mundhvay
24,GUJARAT,468,Kachchh,3722,Lakhpat,506450,Panandhro
24,GUJARAT,468,Kachchh,3722,Lakhpat,506451,Fulra
24,GUJARAT,468,Kachchh,3722,Lakhpat,506452,Akari
24,GUJARAT,468,Kachchh,3722,Lakhpat,506453,Chhuger
24,GUJARAT,468,Kachchh,3722,Lakhpat,506454,Dhareshi
24,GUJARAT,468,Kachchh,3722,Lakhpat,506455,Ghaduli
24,GUJARAT,468,Kachchh,3722,Lakhpat,506456,Lakhapar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506457,Bana
24,GUJARAT,468,Kachchh,3722,Lakhpat,506458,Jara
24,GUJARAT,468,Kachchh,3722,Lakhpat,506459,Khatiyun (Khatiya)
24,GUJARAT,468,Kachchh,3722,Lakhpat,506460,Virani
24,GUJARAT,468,Kachchh,3722,Lakhpat,506461,Khanot
24,GUJARAT,468,Kachchh,3722,Lakhpat,506462,Naredi
24,GUJARAT,468,Kachchh,3722,Lakhpat,506463,Kaiyari
24,GUJARAT,468,Kachchh,3722,Lakhpat,506464,Dhunay
24,GUJARAT,468,Kachchh,3722,Lakhpat,506465,Koteshvar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506466,Narayan Sarovar
24,GUJARAT,468,Kachchh,3722,Lakhpat,506467,Kanoj
24,GUJARAT,468,Kachchh,3722,Lakhpat,506468,Sheh
24,GUJARAT,468,Kachchh,3722,Lakhpat,506469,Godhatad
24,GUJARAT,468,Kachchh,3722,Lakhpat,506470,Mindhiyari
24,GUJARAT,468,Kachchh,3722,Lakhpat,506471,Subhashpar(Sanandhro)
